"REF_DATE","GEO","DGUID","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","269792","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","244480","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","324516","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","340588","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","397772","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","419776","","","","0"
"2021-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","401400","","","","0"
"2021-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","432936","","","","0"
"2022-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","476880","","","","0"
"2022-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","531836","","","","0"
"2022-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","490804","","","","0"
"2022-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","448192","","","","0"
"2023-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","421668","","","","0"
"2023-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","391796","","","","0"
"2023-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","413412","","","","0"
"2023-10","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","432468","","","","0"
"2024-01","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","386056","","","","0"
"2024-04","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","396588","","","","0"
"2024-07","Canada","2016A000011124","Seasonally adjusted at annual rates","Net operating surplus: corporations","Dollars","81","millions","6","v62295553","1.1.5","389160","","","","0"
